NODE_KEY,PARENT_KEY.NODE_KEY,SO_ITEM_POS,PRODUCT_GUID.NODE_KEY,NOTE_GUID.NODE_KEY,CURRENCY_CODE,GROSS_AMOUNT,NET_AMOUNT,TAX_AMOUNT,ITEM_ATP_STATUS,OP_ITEM_POS,DATAAGING,DUMMY
5EF3FD3648631ED5AFBB06AAB72653EF,5EF3FD3648631ED5AFBB06AAB71493EF,0000000010,5EF3FD3648631ED5AFBB06173896D3E6,5EF3FD3648631ED5AFBB06AAB71713EF,EUR,1137.64,956.00,181.64,,,00000000,
5EF3FD3648631ED5AFBB06AAB72673EF,5EF3FD3648631ED5AFBB06AAB71493EF,0000000020,5EF3FD3648631ED5AFBB06173896F3E6,5EF3FD3648631ED5AFBB06AAB71733EF,EUR,2972.62,2498.00,474.62,,,00000000,
5EF3FD3648631ED5AFBB06AAB72693EF,5EF3FD3648631ED5AFBB06AAB71493EF,0000000030,5EF3FD3648631ED5AFBB0617389713E6,5EF3FD3648631ED5AFBB06AAB71753EF,USD,3736.60,3140.00,596.60,,,00000000,
5EF3FD3648631ED5AFBB06AAB726B3EF,5EF3FD3648631ED5AFBB06AAB71493EF,0000000040,5EF3FD3648631ED5AFBB0617389733E6,5EF3FD3648631ED5AFBB06AAB71773EF,EUR,3927.00,3300.00,627.00,,,00000000,
5EF3FD3648631ED5AFBB06AAB726D3EF,5EF3FD3648631ED5AFBB06AAB71493EF,0000000050,5EF3FD3648631ED5AFBB0617389753E6,5EF3FD3648631ED5AFBB06AAB71793EF,USD,1067.43,897.00,170.43,,,00000000,
5EF3FD3648631ED5AFBB06AAB726F3EF,5EF3FD3648631ED5AFBB06AAB71493EF,0000000060,5EF3FD3648631ED5AFBB0617389773E6,5EF3FD3648631ED5AFBB06AAB717B3EF,EUR,4757.62,3998.00,759.62,,,00000000,
5EF3FD3648631ED5AFBB06AAB72713EF,5EF3FD3648631ED5AFBB06AAB71493EF,0000000070,5EF3FD3648631ED5AFBB0617389793E6,5EF3FD3648631ED5AFBB06AAB717D3EF,JPY,5471.62,4598.00,873.62,,,00000000,
5EF3FD3648631ED5AFBB06AAB72733EF,5EF3FD3648631ED5AFBB06AAB71493EF,0000000080,5EF3FD3648631ED5AFBB0617389833E6,5EF3FD3648631ED5AFBB06AAB717F3EF,EUR,547.40,460.00,87.40,,,00000000,
5EF3FD3648631ED5AFBB06AAB72753EF,5EF3FD3648631ED5AFBB06AAB71493EF,0000000090,5EF3FD3648631ED5AFBB0617389853E6,5EF3FD3648631ED5AFBB06AAB71813EF,GBP,1017.45,855.00,162.45,,,00000000,
5EF3FD3648631ED5AFBB06AAB72773EF,5EF3FD3648631ED5AFBB06AAB71493EF,0000000100,5EF3FD3648631ED5AFBB0617389873E6,5EF3FD3648631ED5AFBB06AAB71833EF,EUR,1231.65,1035.00,196.65,,,00000000,
5EF3FD3648631ED5AFBB06AAB72793EF,5EF3FD3648631ED5AFBB06AAB714B3EF,0000000010,5EF3FD3648631ED5AFBB0617389833E6,5EF3FD3648631ED5AFBB06AAB71853EF,EUR,547.40,460.00,87.40,,,00000000,
5EF3FD3648631ED5AFBB06AAB727B3EF,5EF3FD3648631ED5AFBB06AAB714B3EF,0000000020,5EF3FD3648631ED5AFBB0617389853E6,5EF3FD3648631ED5AFBB06AAB71873EF,GBP,339.15,285.00,54.15,,,00000000,
5EF3FD3648631ED5AFBB06AAB727D3EF,5EF3FD3648631ED5AFBB06AAB714B3EF,0000000030,5EF3FD3648631ED5AFBB0617389873E6,5EF3FD3648631ED5AFBB06AAB71893EF,EUR,821.10,690.00,131.10,,,00000000,
5EF3FD3648631ED5AFBB06AAB727F3EF,5EF3FD3648631ED5AFBB06AAB714B3EF,0000000040,5EF3FD3648631ED5AFBB0617389893E6,5EF3FD3648631ED5AFBB06AAB718B3EF,USD,949.62,798.00,151.62,,,00000000,
5EF3FD3648631ED5AFBB06AAB72813EF,5EF3FD3648631ED5AFBB06AAB714B3EF,0000000050,5EF3FD3648631ED5AFBB06173898B3E6,5EF3FD3648631ED5AFBB06AAB718D3EF,CAD,1023.40,860.00,163.40,,,00000000,
5EF3FD3648631ED5AFBB06AAB72833EF,5EF3FD3648631ED5AFBB06AAB714B3EF,0000000060,5EF3FD3648631ED5AFBB06173898D3E6,5EF3FD3648631ED5AFBB06AAB718F3EF,MXN,2927.40,2460.00,467.40,,,00000000,
5EF3FD3648631ED5AFBB06AAB72853EF,5EF3FD3648631ED5AFBB06AAB714B3EF,0000000070,5EF3FD3648631ED5AFBB06173897B3E6,5EF3FD3648631ED5AFBB06AAB71913EF,EUR,1638.63,1377.00,261.63,,,00000000,
5EF3FD3648631ED5AFBB06AAB72873EF,5EF3FD3648631ED5AFBB06AAB714B3EF,0000000080,5EF3FD3648631ED5AFBB06173897D3E6,5EF3FD3648631ED5AFBB06AAB71933EF,MXN,531.93,447.00,84.93,,,00000000,
5EF3FD3648631ED5AFBB06AAB72893EF,5EF3FD3648631ED5AFBB06AAB714B3EF,0000000090,5EF3FD3648631ED5AFBB06173897F3E6,5EF3FD3648631ED5AFBB06AAB71953EF,ARS,3996.02,3358.00,638.02,,,00000000,
5EF3FD3648631ED5AFBB06AAB728B3EF,5EF3FD3648631ED5AFBB06AAB714B3EF,0000000100,5EF3FD3648631ED5AFBB0617389813E6,5EF3FD3648631ED5AFBB06AAB71973EF,USD,1827.84,1536.00,291.84,,,00000000,
5EF3FD3648631ED5AFBB06AAB728D3EF,5EF3FD3648631ED5AFBB06AAB714D3EF,0000000010,5EF3FD3648631ED5AFBB06173898F3E6,5EF3FD3648631ED5AFBB06AAB71993EF,EUR,2963.10,2490.00,473.10,,,00000000,
