NODE_KEY,PARENT_KEY.NODE_KEY,LANGUAGE,TEXT,DATAAGING
5EF3FD3648631ED5AFBB0614A4DED3E6,5EF3FD3648631ED5AFBB0614A4C013E6,E,"Notebook Basic 15",00000000
5EF3FD3648631ED5AFBB0614A4DEF3E6,5EF3FD3648631ED5AFBB0614A4C013E6,1,"######## 15",00000000
5EF3FD3648631ED5AFBB0614A4DF13E6,5EF3FD3648631ED5AFBB0614A4C033E6,E,"Notebook Basic 15 with 2,80 GHz quad core,15"" LCD,4 GB DDR3 RAM,500 GB Hard Disc,Windows 8 Pro",00000000
5EF3FD3648631ED5AFBB0614A4DF33E6,5EF3FD3648631ED5AFBB0614A4C053E6,E,"Notebook Basic 17",00000000
5EF3FD3648631ED5AFBB0614A4DF53E6,5EF3FD3648631ED5AFBB0614A4C053E6,1,"######## 17",00000000
5EF3FD3648631ED5AFBB0614A4DF73E6,5EF3FD3648631ED5AFBB0614A4C073E6,E,"Notebook Basic 17 with 2,80 GHz quad core,17"" LCD,4 GB DDR3 RAM,500 GB Hard Disc,Windows 8 Pro",00000000
5EF3FD3648631ED5AFBB0614A4DF93E6,5EF3FD3648631ED5AFBB0614A4C093E6,E,"Notebook Basic 18",00000000
5EF3FD3648631ED5AFBB0614A4DFB3E6,5EF3FD3648631ED5AFBB0614A4C093E6,1,"######## 18",00000000
5EF3FD3648631ED5AFBB0614A4DFD3E6,5EF3FD3648631ED5AFBB0614A4C0B3E6,E,"Notebook Basic 18 with 2,80 GHz quad core,18"" LCD,8 GB DDR3 RAM,1000 GB Hard Disc,Windows 8 Pro",00000000
5EF3FD3648631ED5AFBB0614A4DFF3E6,5EF3FD3648631ED5AFBB0614A4C0D3E6,E,"Notebook Basic 19",00000000
5EF3FD3648631ED5AFBB0614A4E013E6,5EF3FD3648631ED5AFBB0614A4C0D3E6,1,"######## 19",00000000
5EF3FD3648631ED5AFBB0614A4E033E6,5EF3FD3648631ED5AFBB0614A4C0F3E6,E,"Notebook Basic 19 with 2,80 GHz quad core,19"" LCD,8 GB DDR3 RAM,1000 GB Hard Disc,Windows 8 Pro",00000000
5EF3FD3648631ED5AFBB0614A4E053E6,5EF3FD3648631ED5AFBB0614A4C113E6,E,"ITelO Vault",00000000
5EF3FD3648631ED5AFBB0614A4E073E6,5EF3FD3648631ED5AFBB0614A4C133E6,E,"Digital Organizer with State-of-the-Art Storage Encryption",00000000
5EF3FD3648631ED5AFBB0614A4E093E6,5EF3FD3648631ED5AFBB0614A4C153E6,E,"Notebook Professional 15",00000000
5EF3FD3648631ED5AFBB0614A4E0B3E6,5EF3FD3648631ED5AFBB0614A4C153E6,1,"######## 15",00000000
5EF3FD3648631ED5AFBB0614A4E0D3E6,5EF3FD3648631ED5AFBB0614A4C173E6,E,"Notebook Professional 15 with 2,80 GHz quad core,15"" Multitouch LCD,8 GB DDR3 RAM,500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM,Windows 8 Pro",00000000
5EF3FD3648631ED5AFBB0614A4E0F3E6,5EF3FD3648631ED5AFBB0614A4C193E6,E,"Notebook Professional 17",00000000
5EF3FD3648631ED5AFBB0614A4E113E6,5EF3FD3648631ED5AFBB0614A4C193E6,1,"######## 17",00000000
5EF3FD3648631ED5AFBB0614A4E133E6,5EF3FD3648631ED5AFBB0614A4C1B3E6,E,"Notebook Professional 17 with 2,80 GHz quad core,17"" Multitouch LCD,8 GB DDR3 RAM,500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM,Windows 8 Pro",00000000
5EF3FD3648631ED5AFBB0614A4E153E6,5EF3FD3648631ED5AFBB0614A4C1D3E6,E,"ITelO Vault Net",00000000
5EF3FD3648631ED5AFBB0614A4E173E6,5EF3FD3648631ED5AFBB0614A4C1F3E6,E,"Digital Organizer with State-of-the-Art Encryption for Storage and Network Communications",00000000
5EF3FD3648631ED5AFBB0614A4E193E6,5EF3FD3648631ED5AFBB0614A4C213E6,E,"ITelO Vault SAT",00000000
5EF3FD3648631ED5AFBB0614A4E1B3E6,5EF3FD3648631ED5AFBB0614A4C233E6,E,"Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link",00000000
5EF3FD3648631ED5AFBB0614A4E1D3E6,5EF3FD3648631ED5AFBB0614A4C253E6,E,"Comfort Easy",00000000
5EF3FD3648631ED5AFBB0614A4E1F3E6,5EF3FD3648631ED5AFBB0614A4C253E6,1,"####",00000000
5EF3FD3648631ED5AFBB0614A4E213E6,5EF3FD3648631ED5AFBB0614A4C273E6,E,"32 GB Digital Assistant with high-resolution color screen",00000000
5EF3FD3648631ED5AFBB0614A4E233E6,5EF3FD3648631ED5AFBB0614A4C293E6,E,"Comfort Senior",00000000
5EF3FD3648631ED5AFBB0614A4E253E6,5EF3FD3648631ED5AFBB0614A4C293E6,1,"####",00000000
5EF3FD3648631ED5AFBB0614A4E273E6,5EF3FD3648631ED5AFBB0614A4C2B3E6,E,"64 GB Digital Assistant with high-resolution color screen and synthesized voice output",00000000
5EF3FD3648631ED5AFBB0614A4E293E6,5EF3FD3648631ED5AFBB0614A4C2D3E6,E,"Ergo Screen E-I",00000000
5EF3FD3648631ED5AFBB0614A4E2B3E6,5EF3FD3648631ED5AFBB0614A4C2D3E6,1,"####### E-I",00000000
5EF3FD3648631ED5AFBB0614A4E2D3E6,5EF3FD3648631ED5AFBB0614A4C2F3E6,E,"Optimum Hi-Resolution max. 1920 x 1080 @ 85Hz,Dot Pitch: 0.27mm",00000000
5EF3FD3648631ED5AFBB0614A4E2F3E6,5EF3FD3648631ED5AFBB0614A4C313E6,E,"Ergo Screen E-II",00000000
5EF3FD3648631ED5AFBB0614A4E313E6,5EF3FD3648631ED5AFBB0614A4C313E6,1,"####### E-II",00000000
